LATITUDE,LONGITUDE,ACCLOC,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,DRIVCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,HOOD_140
43.744245,-79.59539,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,None,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,1.0,1.0
43.744245,-79.59539,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Minimal,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,0,1.0,1.0
43.744245,-79.59539,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,15 to 19,Major,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,1.0,1.0
43.744245,-79.59539,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,None,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,1.0,1.0
43.744245,-79.59539,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,Minimal,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,0,1.0,1.0
43.673845,-79.28189,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,85 to 89,None,Normal,1,0,1,0,0,0,0,,0,0,0,0,0,63.0,63.0
43.673845,-79.28189,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,85 to 89,Major,,1,0,1,0,0,0,0,,0,0,0,0,0,63.0,63.0
43.807445,-79.17039,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,55 to 59,None,Inattentive,1,0,0,0,0,0,0,,0,1,0,0,0,143.0,131.0
43.807445,-79.17039,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,,1,0,0,0,0,0,0,,0,1,0,0,0,143.0,131.0
43.686245,-79.43189,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,Normal,0,1,1,0,0,0,0,,0,0,0,0,0,107.0,107.0
43.686245,-79.43189,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,5 to 9,Major,,0,1,1,0,0,0,0,,0,0,0,0,0,107.0,107.0
43.643045,-79.57379,,Clear,Dark,Dry,Non-Fatal Injury,Other,Motorcycle Passenger,25 to 29,Minimal,,0,0,0,1,0,0,0,Yes,1,1,0,0,0,11.0,11.0
43.643045,-79.57379,,Clear,Dark,Dry,Non-Fatal Injury,Other,Motorcycle Driver,30 to 34,Major,Had Been Drinking,0,0,0,1,0,0,0,Yes,1,1,0,0,0,11.0,11.0
43.758945,-79.25709,At Intersection,Other,Daylight,Other,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,,1,0,1,0,0,0,0,,0,0,0,0,0,156.0,127.0
43.663145,-79.39269,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,45 to 49,None,Inattentive,0,1,1,0,0,0,0,,0,0,0,0,0,169.0,76.0
43.663145,-79.39269,,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,,0,1,1,0,0,0,0,,0,0,0,0,0,169.0,76.0
43.647845,-79.39599,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,1,0,0,0,0,1,0,,0,0,0,0,0,164.0,77.0
43.647845,-79.39599,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,40 to 44,None,Unknown,1,0,0,0,0,1,0,,0,0,0,0,0,164.0,77.0
43.647845,-79.39599,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,40 to 44,Major,,1,0,0,0,0,1,0,,0,0,0,0,0,164.0,77.0
43.649645,-79.43139,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,0,1,1,0,0,0,0,,1,1,1,0,0,84.0,84.0
43.649645,-79.43139,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,None,Inattentive,0,1,1,0,0,0,0,,1,1,1,0,0,84.0,84.0
43.649645,-79.43139,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,25 to 29,Major,,0,1,1,0,0,0,0,,1,1,1,0,0,84.0,84.0
43.642845,-79.57469,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown,,,1,0,0,0,0,1,0,,0,0,0,0,0,11.0,11.0
43.642845,-79.57469,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,Normal,1,0,0,0,0,1,0,,0,0,0,0,0,11.0,11.0
43.642845,-79.57469,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,Major,,1,0,0,0,0,1,0,,0,0,0,0,0,11.0,11.0
43.702745,-79.41739,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,40 to 44,Major,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,102.0,102.0
43.702745,-79.41739,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,35 to 39,None,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,0,102.0,102.0
43.702745,-79.41739,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,55 to 59,None,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,0,102.0,102.0
43.710745,-79.37709,,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,0 to 4,Minimal,,0,0,1,0,0,0,0,Yes,0,0,0,0,1,99.0,99.0
43.710745,-79.37709,,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,None,,0,0,1,0,0,0,0,Yes,0,0,0,0,1,99.0,99.0
43.710745,-79.37709,,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,45 to 49,None,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,1,99.0,99.0
43.710745,-79.37709,,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,65 to 69,Major,Medical or Physical Disability,0,0,1,0,0,0,0,Yes,0,0,0,0,1,99.0,99.0
43.646445,-79.40379,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Motorcycle Driver,25 to 29,Major,Unknown,0,0,1,1,0,0,0,,1,1,0,0,0,162.0,82.0
43.646445,-79.40379,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Angle,Driver,55 to 59,None,Normal,0,0,1,1,0,0,0,,1,1,0,0,0,162.0,82.0
43.752445,-79.40809,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,35 to 39,Minimal,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,40.0,40.0
43.752445,-79.40809,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,Major,Normal,0,0,1,0,0,0,0,Yes,0,1,0,0,0,40.0,40.0
43.752445,-79.40809,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,50 to 54,Minimal,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,40.0,40.0
43.752445,-79.40809,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,50 to 54,None,Normal,0,0,1,0,0,0,0,Yes,0,1,0,0,0,40.0,40.0
43.752445,-79.40809,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,30 to 34,Major,,0,0,1,0,0,0,0,Yes,0,1,0,0,0,40.0,40.0
43.646145,-79.39179,,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,Unknown,1,0,1,0,0,0,0,,0,1,0,0,0,164.0,77.0
43.744145,-79.40669,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,40 to 44,Minor,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,1,40.0,40.0
43.697045,-79.54669,At Intersection,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,20 to 24,Fatal,,1,0,1,0,0,0,0,,0,0,0,0,0,6.0,6.0
43.744145,-79.40669,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,Minor,Normal,0,0,1,0,0,0,0,Yes,0,0,0,0,1,40.0,40.0
43.699595,-79.318797,Intersection Related,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,25 to 29,None,"Ability Impaired, Alcohol Over .08",0,0,1,0,0,0,0,Yes,1,1,0,1,0,60.0,60.0
43.646145,-79.39179,,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,,1,0,1,0,0,0,0,,0,1,0,0,0,164.0,77.0
43.744145,-79.40669,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,90 to 94,Major,Medical or Physical Disability,0,0,1,0,0,0,0,Yes,0,0,0,0,1,40.0,40.0
43.684874,-79.316188,Intersection Related,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,10 to 14,Minor,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,64.0,64.0
43.721145,-79.57119,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,65 to 69,None,Normal,1,0,1,0,0,0,0,,0,0,0,0,0,4.0,4.0
43.789445,-79.25969,,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,50 to 54,None,Normal,1,0,1,0,0,0,0,,0,0,0,0,0,128.0,128.0
43.789445,-79.25969,,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,,1,0,1,0,0,0,0,,0,0,0,0,0,128.0,128.0
43.684874,-79.316188,Intersection Related,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Major,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,64.0,64.0
43.721145,-79.57119,,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,55 to 59,Major,,1,0,1,0,0,0,0,,0,0,0,0,0,4.0,4.0
43.667545,-79.52759,,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,55 to 59,Minor,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,9.0,9.0
43.684874,-79.316188,Intersection Related,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minor,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,64.0,64.0
43.816245,-79.31449,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,55 to 59,Major,,0,0,1,0,0,0,0,Yes,0,1,1,0,0,116.0,116.0
43.684874,-79.316188,Intersection Related,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Driver,20 to 24,None,Inattentive,0,0,1,0,0,0,0,Yes,0,0,0,0,0,64.0,64.0
43.816245,-79.31449,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Vehicle Owner,unknown,None,,0,0,1,0,0,0,0,Yes,0,1,1,0,0,116.0,116.0
43.684874,-79.316188,Intersection Related,Snow,"Dark, artificial",Slush,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,,,0,0,1,0,0,0,0,Yes,0,0,0,0,0,64.0,64.0
43.667545,-79.52759,,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,65 to 69,Major,Fatigue,0,0,1,0,0,0,0,Yes,0,0,0,0,0,9.0,9.0
43.816245,-79.31449,At Intersection,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Passenger,0 to 4,Minor,,0,0,1,0,0,0,0,Yes,0,1,1,0,0,116.0,116.0
43.652892,-79.406253,,Other,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,30 to 34,None,Inattentive,1,0,1,0,0,0,0,,0,0,0,0,0,78.0,78.0
